text,label
"Team, Hi Rahul, can we move our call to Friday afternoon? I have another meeting in the morning. Regards.",ham
"Team, Your order has been shipped and is expected to arrive on Thursday. You can track it from your account. Regards.",ham
"Team, Thank you for your application. We would like to schedule an interview next week. Regards.",ham
"Team, Please find the minutes from today's meeting attached. Action items are listed at the end. Regards.",ham
"Team, The library will be closed on Sunday for maintenance and will reopen on Monday morning. Regards.",ham
"Team, Hi, I have shared the presentation slides in the team folder. Please add your comments by evening. Regards.",ham
"Team, Your electricity bill for this month is available in your customer portal. The due date is Friday. Regards.",ham
"Team, Could you please send me the updated invoice when you get a chance? Thanks. Regards.",ham
"Team, The training session has been moved to Room 204. The start time remains unchanged. Regards.",ham
"Team, Thanks for confirming. I will join the client call at 2 PM and prepare the requested documents. Regards.",ham
"Team, Your package was delivered to the reception desk this afternoon. Regards.",ham
"Team, Please remember to submit the assignment before the deadline on Monday. Regards.",ham
"Team, Hi everyone, the office will have a fire drill at 4 PM today. Please follow the safety instructions. Regards.",ham
"Team, I have attached the revised proposal based on yesterday's feedback. Regards.",ham
"Team, Your password was changed successfully. If you made this change, no further action is required. Regards.",ham
"Team, Let's meet after lunch to discuss the new project requirements and timeline. Regards.",ham
"Team, Thank you for attending the workshop. The recording and resources are now available. Regards.",ham
